  Page 1                                    Thu Sep 19 12:11:54 2013

  ******************************************************************
  *                           E P A N E T                          *
  *                   Hydraulic and Water Quality                  *
  *                   Analysis for Pipe Networks                   *
  *                         Version 2.00.12                        *
  ******************************************************************
  
  Analysis begun Thu Sep 19 12:11:54 2013

  Processing MSX input file temp.msx
  
  
Page 1                                               EPANET-MSX 1.1
  
  ******************************************************************
  *                      E P A N E T  -  M S X                     *
  *                   Multi-Species Water Quality                  *
  *                   Analysis for Pipe  Networks                  *
  *                           Version 1.1                          *
  ******************************************************************
  
  Arsenic Oxidation/Adsorption Example

  
  <<< Node B >>>
  
  Time            AS3         AS5       AStot       NH2CL
  hr:min         UG/L        UG/L        UG/L        MG/L
  -------  ----------  ----------  ----------  ----------
     0:00        0.00        0.00        0.00        0.00
     2:00        0.00        0.00        0.00        0.00
     4:00        0.00        0.00        0.00        0.00
     6:00        0.00        0.00        0.00        1.44
     8:00        0.00       10.03       10.03        1.44
    10:00        0.00       10.03       10.03        1.44
    12:00        0.00       10.03       10.03        1.44
    14:00        0.00       10.03       10.03        1.44
    16:00        0.00       10.03       10.03        1.44
    18:00        0.00       10.03       10.03        1.44
    20:00        0.00       10.03       10.03        1.44
    22:00        0.00       10.03       10.03        1.44
    24:00        0.00       10.03       10.03        1.44
    26:00        0.00       10.03       10.03        1.44
    28:00        0.00       10.03       10.03        1.44
    30:00        0.00       10.03       10.03        1.44
    32:00        0.00       10.03       10.03        1.44
    34:00        0.00       10.03       10.03        1.44
    36:00        0.00       10.03       10.03        1.44
    38:00        0.00       10.03       10.03        1.44
    40:00        0.00       10.03       10.03        1.44
    42:00        0.00       10.03       10.03        1.44
    44:00        0.00       10.03       10.03        1.44
    46:00        0.00       10.03       10.03        1.44
    48:00        0.00       10.03       10.03        1.44
  
  <<< Node C >>>
  
  Time            AS3         AS5       AStot       NH2CL
  hr:min         UG/L        UG/L        UG/L        MG/L
  -------  ----------  ----------  ----------  ----------
     0:00        0.00        0.00        0.00        0.00
     2:00        0.00        0.00        0.00        0.00
     4:00        0.00        0.00        0.00        0.00
     6:00        0.00        0.00        0.00        0.00
     8:00        0.00        0.00        0.00        1.10
    10:00        0.00        9.17        9.17        1.10
    12:00        0.00        9.17        9.17        1.10
    14:00        0.00        9.17        9.17        1.10
    16:00        0.00        9.17        9.17        1.10
    18:00        0.00        9.17        9.17        1.10
    20:00        0.00        9.17        9.17        1.10
    22:00        0.00        9.17        9.17        1.10
    24:00        0.00        9.17        9.17        1.10
    26:00        0.00        9.17        9.17        1.10
    28:00        0.00        9.17        9.17        1.10
    30:00        0.00        9.17        9.17        1.10
    32:00        0.00        9.17        9.17        1.10
    34:00        0.00        9.17        9.17        1.11
    36:00        0.00        9.17        9.17        1.11
    38:00        0.00       10.03       10.03        1.11
    40:00        0.00       10.03       10.03        1.11
    42:00        0.00       10.03       10.03        1.11
    44:00        0.00       10.03       10.03        1.11
    46:00        0.00       10.03       10.03        1.11
    48:00        0.00       10.03       10.03        1.11
  
  <<< Node D >>>
  
  Time            AS3         AS5       AStot       NH2CL
  hr:min         UG/L        UG/L        UG/L        MG/L
  -------  ----------  ----------  ----------  ----------
