#Bragalli, D'Ambrosio, Lee, Lodi, Toth (2008)
#PARAMETERS' DEFINITION FOR THE FOSSOLO POLY 1 NETWORK

#Node's parameters: elevation, water demand, minumum pressure, maximum pressure

param: NODE:  elev              demand          pmin           pmax :=
 1               	65.15       	0.00049    	     40             55.85
 2               	64.4        	0.00104    	     40             56.6
 3               	63.35       	0.00102    	     40             57.65
 4               	62.5        	0.00081    	     40             58.5
 5               	61.24       	0.00063    	     40             59.76
 6               	65.4        	0.00079    	     40             55.6
 7               	67.9        	0.00026    	     40             53.1
 8               	66.5        	0.00058    	     40             54.5
 9               	66          	0.00054    	     40             55.0
 10              	64.17       	0.00111    	     40             56.83
 11              	63.7        	0.00175    	     40             57.3
 12              	62.64       	0.00091    	     40             58.36
 13              	61.9        	0.00116    	     40             59.1
 14              	62.6        	0.00054    	     40             58.4
 15              	63.5        	0.00110    	     40             57.5
 16              	64.3        	0.00121    	     40             56.7
 17              	65.5        	0.00127    	     40             55.5
 18              	64.1        	0.00202    	     40             56.9
 19              	62.9        	0.00188    	     40             58.1
 20              	62.83       	0.00093    	     40             58.17
 21              	62.8        	0.00096    	     40             58.2
 22              	63.9        	0.00097   	     40             57.1
 23              	64.2        	0.00086   	     40             56.8
 24              	67.5        	0.00067    	     40             53.5
 25              	64.40       	0.00077  	     40             56.6
 26              	63.4        	0.00169    	     40             57.6
 27              	63.9        	0.00142    	     40             57.1
 28              	65.65       	0.00030    	     40             55.35
 29              	64.5        	0.00062    	     40             56.5
 30              	64.1        	0.00054    	     40             56.9
 31              	64.4        	0.00090    	     40             56.6
 32              	64.2        	0.00103    	     40             56.8
 33              	64.6        	0.00077    	     40             56.4
 34              	64.7        	0.00074    	     40             56.3
 35              	65.43       	0.00116    	     40             55.57
 36              	65.9        	0.00047          40             55.1
 37              	 0.0     	      0.0              121.0          121.0;

#Pipe's parameters: start node, end node, length, roughness coefficient, maximum velocity

param: PIPE:      node1            node2                        length  dKc         vmax    :=
 1              	 1               17              	132.76  150          1.0
 2              	17                2               	374.68  150          1.0
 3              	 2                3               	119.74  150          1.0
 4              	 3                4               	312.72  150          1.0
 5              	 4                5               	289.09  150          1.0
 6              	 5                6               	336.33  150          1.0
 7              	 6                7               	135.81  150          1.0
 8              	 7               24              	201.26  150          1.0
 9              	24                8               	132.53  150          1.0
 10             	 8               28              	144.66  150          1.0
 11             	28                9               	175.72  150          1.0
 12             	 9               36              	112.17  150          1.0
 13             	36                1               	210.74  150          1.0
 14             	 1               31              	 75.41  150          1.0
 15             	31               10              	181.42  150          1.0
 16             	10               11              	146.96  150          1.0
 17             	11               19              	162.69  150          1.0
 18             	19               12              	 99.64  150          1.0
 19             	12                4               	 52.98  150          1.0
 20             	 2               18              	162.97  150          1.0
 21             	18               10              	 83.96  150          1.0
 22             	10               32              	 49.82  150          1.0
 23             	32               27              	 78.5   150          1.0
 24             	27               16              	 99.27  150          1.0
 25             	16               25              	 82.29  150          1.0
 26             	25                8               	147.49  150          1.0
 27             	 3               11              	197.32  150          1.0
 28             	11               26              	 83.3   150          1.0
 29             	26               15              	113.8   150          1.0
 30             	15               22              	 80.82  150          1.0
 31             	22                7               	340.97  150          1.0
 32             	 5               13              	 77.39  150          1.0
 33             	13               14              	112.37  150          1.0
 34             	14               20              	 37.34  150          1.0
 35             	20               15              	108.85  150          1.0
 36             	15               16              	182.82  150          1.0
 37             	16               29              	136.02  150          1.0
 38             	29               30              	 56.7   150          1.0
 39             	30                9               	124.08  150          1.0
 40             	17               18              	234.6   150          1.0
 41             	12               13              	203.83  150          1.0
 42             	19               20              	248.05  150          1.0
 43             	14               21              	 65.19  150          1.0
 44             	21                6               	210.09  150          1.0
 45             	21               22              	147.57  150          1.0
 46             	22               23              	103.8   150          1.0
 47             	24               23              	210.95  150          1.0
 48             	23               25              	 75.08  150          1.0
 49             	26               27              	180.29  150          1.0
 50             	28               29              	149.05  150          1.0
 51             	29               33              	215.05  150          1.0
 52             	32               33              	144.44  150          1.0
 53             	33               34              	 34.74  150          1.0
 54             	31               34              	 59.93  150          1.0
 55             	34               35              	165.67  150          1.0
 56             	30               35              	119.97  150          1.0
 57             	35               36              	 83.17  150          1.0 
 58             	37                1               	  1.0   150          1.0 ;

param dmin := 0.016;  # minimum diameter (should match the minimum discrete diameter)
param dmax := 0.4092; # maximum diameter (should match the maximum discrete diameter)
param d:= 0.0005;     # DO NOT CHANGE
param p:=1.852;       # DO NOT CHANGE
set source:= 37 ;   # source node

#Diameter's parameters: diameter, cost 

param: DIAMSET:      discdiam                                disccost :=
 1                   0.016                       0.38
 2                   0.0204                      0.56
 3                   0.026                       0.88
 4                   0.0326                      1.35
 5                   0.0408                      2.02
 6                   0.0514                      3.21
 7                   0.0614                      4.44
 8                   0.0736                      6.45
 9                   0.09                        9.59
10                   0.1022                     11.98
11                   0.1146                     14.93
12                   0.1308                     19.61
13                   0.1472                     24.78
14                   0.1636                     30.55
15                   0.184                      38.71
16                   0.2046                     47.63
17                   0.2292                     59.7
18                   0.2578                     75.61
19                   0.2906                     99.58
20                   0.3274                    126.48
21                   0.3682                    160.29
22                   0.4092                    197.71 ;
